Session,Kind,EventRow,CurrentStart,CurrentEnd,NativeStart,NativeEnd,CurrentAmplitude,NativeWindowAmplitude,CurrentStatus,NativeWindowStatus
M400-03-baseline-iso,sink,45,58,65,61,63,0.0325571562320677,0.0353104154432247,valid,valid
M400-03-baseline-iso,sink,46,59,67,62,64,0.015359998659613,0.0206396027063961,valid,valid
M400-03-baseline-iso,sink,47,62,96,63,72,0.0472082371238918,0.0468733124527485,valid,valid
M400-03-baseline-iso,sink,48,266,273,267,269,0.0575917732596509,0.0570682559710156,valid,valid
M400-03-baseline-iso,sink,49,444,457,445,447,0.0352708736713162,0.0183439655676948,valid,valid
M400-03-baseline-iso,sink,50,578,587,583,585,0.0523559821418173,0.0467518636847708,valid,valid
M400-03-baseline-iso,sink,51,61,72,66,69,0.028056035236198,0.033648832918906,valid,valid
M400-03-baseline-iso,sink,52,64,69,65,67,0.0469142756931123,0.0482154537288999,valid,valid
M400-03-baseline-iso,sink,53,103,110,105,107,0.0570599079358422,0.0587915538790966,valid,valid
M400-03-baseline-iso,sink,54,76,85,82,84,0.0421626799790241,0.039125491113868,valid,valid
M400-03-baseline-iso,sink,55,207,235,228,232,0.0587565483536932,0.036568145487883,valid,valid
M400-03-baseline-iso,sink,56,79,98,82,86,0.0527568280559282,0.050150018819019,valid,valid
M400-03-baseline-iso,sink,57,402,408,404,406,0.0412419253530947,0.0410844425489241,valid,valid
M400-03-baseline-iso,sink,58,158,171,162,165,0.0433856595736493,0.0390283951842511,valid,valid
M400-03-baseline-iso,sink,59,111,127,115,118,0.085056981179295,0.0823500428797529,valid,valid
M400-03-baseline-iso,sink,60,113,121,116,118,0.0375497499877002,0.037686802887354,valid,valid
M400-03-baseline-iso,sink,61,111,129,121,124,0.066919607865411,NaN,valid,insufficient_clean_prebaseline
M400-03-baseline-iso,sink,62,120,128,123,125,0.033986948431272,0.0252505632817965,valid,valid
M400-03-baseline-iso,sink,63,122,134,124,127,0.0404263235691788,0.0420682152164913,valid,valid
M400-03-baseline-iso,sink,64,141,155,144,146,0.0524596409738856,0.0411753754920838,valid,valid
M400-03-baseline-iso,sink,65,484,494,488,490,0.0525618210113254,0.0418922831133462,valid,valid
M400-03-baseline-iso,sink,66,160,178,163,169,0.0327519572863389,0.0310366043926054,valid,valid
M400-03-baseline-iso,sink,67,184,224,218,220,NaN,0.0202688903481624,insufficient_clean_prebaseline,valid
M400-03-baseline-iso,sink,68,342,348,344,346,0.0591335007329462,0.0594982157683192,valid,valid
M400-03-baseline-iso,sink,69,159,165,161,163,0.0585752021650707,0.055354663772199,valid,valid
M400-03-baseline-iso,sink,70,154,168,164,166,0.0453682646850783,0.0333396193172711,valid,valid
M400-03-baseline-iso,sink,71,175,185,177,179,0.0533730814566276,0.0501490155586325,valid,valid
M400-03-baseline-iso,sink,72,186,210,199,203,0.0407880521531005,0.0310712924132673,valid,valid
M400-03-baseline-iso,sink,73,222,228,223,225,0.0532689567832834,0.0518981589126803,valid,valid
M400-03-baseline-iso,sink,74,271,278,273,275,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-03-baseline-iso,sink,75,526,533,527,529,0.063406273568556,0.0627402107318094,valid,valid
M400-03-baseline-iso,sink,76,296,303,298,301,0.0560670938380359,0.0539034874576488,valid,valid
M400-03-baseline-iso,sink,77,302,312,306,308,0.0579226797962701,0.0563910064802158,valid,valid
M400-03-baseline-iso,sink,78,349,363,356,361,0.0491319749052782,0.0463402299652341,valid,valid
M400-03-baseline-iso,sink,79,351,363,355,357,0.0566784642948254,0.0473511208504844,valid,valid
M400-03-baseline-iso,sink,80,361,367,362,364,0.0581630551459908,0.0564024077781345,valid,valid
M400-03-baseline-iso,sink,81,361,367,363,365,0.0533885378078012,0.0520919708470276,valid,valid
M400-03-baseline-iso,sink,82,537,543,539,541,0.0578016432890189,0.0577616466486784,valid,valid
M400-03-baseline-iso,sink,83,566,574,570,572,0.0512923799932862,0.0477698636783266,valid,valid
