Status,OnsetFrame,BestCandidateFrame,FitStartFrame,FitEndFrame,ScoreImprovement,ProfileStartFrame,ProfileEndFrame,ProfileSpanSec,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,Session,EventRow,LocalRow,Context,NativeStartFrame,NativeEndFrame,TemplateRiseSec,TemplatePlateauSec,TemplateRecoverySec,TemplateShape,PulseCoefficientOverFitMedian
insufficient_clean_context,NaN,NaN,36,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,FB2411,2,5,pulse,36,84,NaN,NaN,NaN,unassessed,NaN
insufficient_clean_context,NaN,NaN,85,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,FB2411,3,8,pulse,90,101,NaN,NaN,NaN,unassessed,NaN
insufficient_clean_context,NaN,NaN,85,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,FB2411,4,11,pulse,90,100,NaN,NaN,NaN,unassessed,NaN
insufficient_clean_context,NaN,NaN,101,108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,FB2411,5,14,pulse,104,115,NaN,NaN,NaN,unassessed,NaN
insufficient_improvement,NaN,122,102,149,-14.4563456391158,122,126,4,NaN,NaN,NaN,NaN,onset_unresolved,FB2411,6,17,pulse,145,165,2,5,20,sine_squared,0.000893887515961868
insufficient_improvement,NaN,217,171,231,-18.8642000838549,191,222,31,NaN,NaN,NaN,NaN,onset_unresolved,FB2411,7,20,pulse,227,239,2,0,10,sine_squared,0.000902406208701699
insufficient_improvement,NaN,116,92,156,3.46267797783603,114,117,3,NaN,NaN,NaN,NaN,onset_unresolved,FB2411,8,23,pulse,152,165,2,20,20,linear,0.00150339243156148
insufficient_clean_context,NaN,NaN,153,168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,FB2411,9,26,pulse,164,232,NaN,NaN,NaN,unassessed,NaN
insufficient_clean_context,NaN,NaN,273,295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,FB2411,10,29,pulse,291,301,NaN,NaN,NaN,unassessed,NaN
insufficient_improvement,NaN,254,232,296,-2.92744912904995,252,258,6,NaN,NaN,NaN,NaN,onset_unresolved,FB2411,11,32,pulse,292,301,10,20,10,linear,0.0011388188445119
insufficient_improvement,NaN,257,232,296,-15.5800109056781,252,262,10,NaN,NaN,NaN,NaN,onset_unresolved,FB2411,12,35,pulse,292,301,2,20,15,sine_squared,0.000532477314812578
