Session,EventRow,Cohort,Context,NativeStartFrame,NativeEndFrame,Status,OnsetFrame,FitStartFrame,FitEndFrame,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,RisingScore,PulseScore,SelectedScore,SelectedModel,SelectorStatus,ModelGapSec,CombinedProfileSpanSec,PlausibleModels,AmplitudeFraction,RiseFrames,Shape,DelayFrames,TruthOnsetFrame,Constructible,PulseTruncated,OnsetErrorSec,WithinFiveSec,NativeBaselineImposedFraction,NativeBaselineEffectPP,ProposedBaselineImposedFraction,BaselineEffectPP,PositiveBaselineFrames,BaselineUnderOnePercent,ControlResolved,SameOnsetAsControl,ShiftFromControlSec
M400-01-baseline-awake,22,development,rising,227,240,insufficient_clean_context,NaN,211,231,NaN,NaN,NaN,NaN,onset_unresolved,NaN,NaN,NaN,none,insufficient_clean_context,NaN,NaN,0,0,0,control,0,NaN,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN
M400-01-baseline-awake,22,development,pulse,227,240,insufficient_clean_context,NaN,211,231,NaN,NaN,NaN,NaN,onset_unresolved,NaN,NaN,NaN,none,insufficient_clean_context,NaN,NaN,0,0,0,control,0,NaN,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN
M400-01-baseline-awake,22,development,selection,227,240,insufficient_clean_context,NaN,211,231,NaN,NaN,NaN,NaN,onset_unresolved,NaN,NaN,NaN,none,insufficient_clean_context,NaN,NaN,0,0,0,control,0,NaN,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN
M400-01-baseline-awake,23,development,rising,161,179,insufficient_clean_context,NaN,153,165,NaN,NaN,NaN,NaN,onset_unresolved,NaN,NaN,NaN,none,insufficient_clean_context,NaN,NaN,0,0,0,control,0,NaN,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN
M400-01-baseline-awake,23,development,pulse,161,179,insufficient_clean_context,NaN,153,165,NaN,NaN,NaN,NaN,onset_unresolved,NaN,NaN,NaN,none,insufficient_clean_context,NaN,NaN,0,0,0,control,0,NaN,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN
M400-01-baseline-awake,23,development,selection,161,179,insufficient_clean_context,NaN,153,165,NaN,NaN,NaN,NaN,onset_unresolved,NaN,NaN,NaN,none,insufficient_clean_context,NaN,NaN,0,0,0,control,0,NaN,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN
M400-01-baseline-awake,24,development,rising,169,186,insufficient_clean_context,NaN,152,173,NaN,NaN,NaN,NaN,onset_unresolved,NaN,NaN,NaN,none,insufficient_clean_context,NaN,NaN,0,0,0,control,0,NaN,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN
M400-01-baseline-awake,24,development,pulse,169,186,insufficient_clean_context,NaN,152,173,NaN,NaN,NaN,NaN,onset_unresolved,NaN,NaN,NaN,none,insufficient_clean_context,NaN,NaN,0,0,0,control,0,NaN,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN
M400-01-baseline-awake,24,development,selection,169,186,insufficient_clean_context,NaN,152,173,NaN,NaN,NaN,NaN,onset_unresolved,NaN,NaN,NaN,none,insufficient_clean_context,NaN,NaN,0,0,0,control,0,NaN,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN
M400-01-baseline-awake,25,development,rising,197,206,insufficient_clean_context,NaN,194,201,NaN,NaN,NaN,NaN,onset_unresolved,NaN,NaN,NaN,none,insufficient_clean_context,NaN,NaN,0,0,0,control,0,NaN,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN
M400-01-baseline-awake,25,development,pulse,197,206,insufficient_clean_context,NaN,194,201,NaN,NaN,NaN,NaN,onset_unresolved,NaN,NaN,NaN,none,insufficient_clean_context,NaN,NaN,0,0,0,control,0,NaN,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN
